ACCT 450,"
PR:  or . Survey and application of computerized accounting software systems set up, general ledger, accounts receivable, accounts payable, payroll, and preparation of financial statements."
ACCT 451,"
PR: . Standards and procedures related to the independent audit of financial statements."
ACCT 461,"
PR:  and ( or ). Accounting, reporting, and budgeting for governmental and nonprofit entities and the use of fund accounting data for planning and control."
ACCT 491,"
PR: Consent.  (May be repeated up to a maximum of 18 hours.)  Prearranged experiential learning program, to be planned, supervised, and evaluated for credit by faculty and field supervisors. Involves temporary placement with public or private enterprise for professional competence development."
ACCT 493,"
PR: Consent. Investigation of topics not covered in regularly scheduled courses. (Maximum of nine semester hours in any or all courses numbered 493 offered by the College of Business and Economics may be applied toward bachelor's and master's degree.)."
ACCT 495,"
Faculty supervised study of topics not available through regular course offerings."
ADRC 101,"
This course focuses on foundational outdoor skills needed to safely participate in and lead trips in outdoor settings. Students learn and practice equipment selection and use, outdoor cooking, map &amp; compass navigation and wilderness first aid in classroom and outdoor settings."
ADRC 102,"
This course explores how outdoor adventure has transformed from a daily necessity for survival in early cultures to its modern form of recreational pursuit. Through readings, media, lectures and hands-on adventure experiences students explore historical and modern perspectives of popular adventure pursuits and their societal influence."
ADRC 103,"
Overview of the adventure recreation industry including adventure tourism, instruction, guiding, sports and therapeutic applications.  Examines motivations and trends of participation and professional employment opportunities in the field."
ADRC 111,"
Introductory skills course in navigating class II-III whitewater in inflatable watercraft. Content includes equipment selection and care, river features and hazards, paddle strokes, steering, whitewater maneuvers and basic rescue techniques. Must meet essential eligibility requirements to participate."
ADRC 112,"
PR:  or permission of the instructor. Whitewater raft skill development course designed to build intermediate skills on class III-IV whitewater. Includes intermediate paddle raft maneuvers, oar-rig operation and self-recovery techniques. Must meet essential eligibility requirements to participate."
ADRC 121,"
Introduction to rock climbing skills. Content includes skills necessary to climb and belay using a top-rope system both on artificial and natural climbing surfaces. Must meet essential eligibility requirements to participate."
ADRC 122,"
PR:  or permission of the instructor. Rock climbing skill development course focused on building proficiency for independent set-up and safe climbing practices in a top rope climbing setting. Must meet essential eligibility requirements to participate."
ADRC 131,"
Introduction to mountain biking and riding techniques.  Foundational content and practice on biking skills, etiquette, and technical knowledge. Must meet essential eligibility requirements to participate."
ADRC 201,"
PR:  and  or the permission of the instructor. Introduction to skills and techniques for leading small groups in outdoor settings. Content focused on program design, teaching techniques, guiding principles, group development and risk management."
ADRC 211,"
PR:  or permission of the instructor. Introduces methods and skills of commercial raft guiding on class III-IV whitewater. Emphasis is placed on customer care, building a short-term paddling team, effective communication and group safety. Must meet essential eligibility requirements to participate."
ADRC 212,"
PR:  or permission of the instructor. Introductory theory and skills in self and group rescue techniques of paddlers in swiftwater settings. Instruction emphasizes recognition and avoidance of common river hazards, personal/group safety, throw bag use, rope/boat/wading-based rescues, rescue PFD use and mechanical advantage systems. Must meet essential eligibility requirements to participate."
ADRC 221,"
PR:  or permission of the instructor. Introduces experienced top rope climbers to techniques and skills required to lead climb bolted sport and traditional lead routes. Emphasis on safety practices, equipment, lead climbing knots, lead belay technique, bolt assessment, route finding, traditional gear placement and anchor cleaning. Must meet essential eligibility requirements to participate. Must have the ability to climb 5.8 on a top rope."
ADRC 222,"
PR:  or permission of the instructor. Introduces theory and skills in self and group rescue for climbers in high angle terrain. Content includes vertical rescue management, belay escapes, ascending ropes, mechanical advantage systems, lowering systems, rescue rappels and counter-balance systems. Must meet essential eligibility requirements to participate."
ADRC 293,"
PR: Consent. Investigation of topics not covered in regularly scheduled courses."
ADRC 301,"
PR: . Builds student knowledge and competency in the management of an adventure recreation enterprise.  Emphasis is given to programmatic design, risk management, budgeting, staffing and support operations."
ADRC 302,"
PR:  and PR or CONC: . Overview of the adventure travel industry from the perspective of consumer, provider and promoter. Emphasis given to market analysis, destination planning and business operations of adventure-based tourism products."
ADRC 303,"
An introduction to professional practices in planning and managing natural and artificial adventure resource areas and facilities. Course includes lecture, venue site visits and project work focused on the relationship between program delivery and resource management."
ADRC 304,"
PR: Completion of a 300 level technical skill development course. Course focuses on assessment of technical skill and leadership abilities of student in preparation for completion of the guide/instructor co-curricular graduation requirement and general professional development."
ADRC 311,"
PR:  or permission of the instructor. Advanced skill course focused on methods and skills needed to lead whitewater paddling day trips primarily in rafts.  Hands-on activities focus on site selection, equipment, logistics, permits, risk management, on-river trip management and group safety. Must meet essential eligibility requirements to participate."
ADRC 321,"
PR:  and must meet essential eligibility requirements to participate plus also have at least one year of personal climbing experience or permission of the instructor. Advanced skill course focused on development of instructional skills in rock climbing. Hands-on activities emphasize climbing site selection, risk management, technical skills as well as key instructional skills. Rock Climbing resume must show more than 20 single pitch traditional gear protected leads over 5.6 difficulty and can comfortably climb 5.8 routes on top rope at time of course."
ADRC 401,"
PR: . Examination of ethical and legal issues faced by program managers and field leaders in the development, administration and operation of adventure activities."
ADRC 402,"
PR:  and . An introduction to research methods and research literature for studies in adventure recreation. Course examines physical and social science research that inform management practice in tourism, resources management and program development."
ADRC 403,"
PR: Senior standing and permission of the instructor. This course is the culminating experience for Adventure Recreation Management majors through which they will demonstrate their ability to integrate and synthesize adventure program management competencies and industry knowledge with the completion of an original senior project, classroom discussions and applied program assessments."
ADRC 491,"
(May be repeated up to a maximum of 18 hours.) Prearranged experiential learning program, to be planned, supervised, and evaluated for credit by faculty and field supervisors. Involves temporary placement with public or private enterprise for professional competence development."
ADRC 493,"
PR: Consent. Investigation of topics not covered in regularly scheduled courses."
ADRC 494,"
PR: Consent. Presentation and discussion of topics of mutual concern to students and faculty."
ARHS 101,"
Introduction to the study of art history from prehistory to the present in which major landmarks of world art and architecture are considered as aesthetic objects, cultural documents and within their socio-historical contexts."
ACE 105,"
General nutrition and dietary requirements to aid coaches and their athletes."
ACE 106,"
Overview of athletic coaching profession including careers opportunities, critical current issues/trends, professional standards and the professional organizations."
ACE 168,"
Study of the art, science, industry standards, and best practices of the officiating profession across all levels of sport."
ACE 215,"
PR or CONC:  with a minimum grade of C-. Examines the past, present and future of sport for athletes with disabilities and those competing at the Masters-level. The focus is on the coaching of these unique populations of competitive and recreational athletes."
ACE 256,"
Designed to teach students the principles and problems of interscholastic athletic coaching."
ACE 265,"
Covers historical and current topics relevant to diversity in sport as it relates to current sport practices. Practical strategies for facilitating acceptance of diversity within individual/team sports are discussed."
ACE 350,"
Students will utilize the Career Service Center and demonstrate a working knowledge of various job search strategies and career planning."
ACE 359,"
Designed to permit students to gain athletic coaching experience through a supervised on-site experience with a varsity athletic team."
ACE 361,"
Designed to permit students to gain athletic coaching experience through a supervised on-site experience with a varsity athletic team."
ACE 362,"
Designed to permit students to gain athletic coaching experience through a supervised on-site experience with a varsity athletic team."
ACE 364,"
Designed to permit students to gain athletic coaching experience through a supervised on-site experience with a varsity athletic team."
ACE 365,"
Designed to permit students to gain athletic coaching experiencethrough a supervised on-site experience with a varsity athletic team."
ACE 366,"
Designed to permit students to gain athletic coaching experience through a supervised on-site experience with a varsity athletic team."
ACE 410,"
PR:  and  and PR or CONC: . Application of sport training theories to building, designing and assessing athlete training plans, seasonal team development and long term athlete development from physical literacy to peak performance at all participation levels."
ACE 430,"
An administrative focus of leadership, finance, fundraising, planning, facility development, personnel supervision, public relations, rules and regulations, purchase and care of equipment and the conducting of athletic events."
ACE 468,"
PR:  and  with a minimum grade of C- in each. This course is designed to introduce a prospective coach to the principles of human movement."
ACE 469,"
PR:  and ( or ( and )) with a minimum grade of C- in each. Present basic exercise performance methodologies to assist in coaching athletics. Types of training include speed drills, agility drills, conditioning workouts, flexibility exercises, balance- improvement drills, and proper training-environment safety techiques."
ACE 488,"
PR:ACE 315.  Integration of theoretical knowledge and development issues with practical field experiences working with exceptional athletes."
ACE 489,"
PR: , , and one of the ACE Techniques of Coaching. Integration of theoretical knowledge and development issues with practical field experiences in coaching youth."
ACE 491,"
PR: Consent. (May be repeated up to a maximum of 18 hours.) Prearranged experiential learning program, to be planned, supervised, and evaluated for credit by faculty and field supervisors. Involves temporary placement with public or private enterprise for professional competence development."
ACE 493,"
PR: Consent.   Investigation of topics not covered in regularly scheduled courses."
ACE 494,"
PR: Consent. Presentation and discussion of topics of mutual concern to students and faculty."
ACE 495,"
Faculty supervised study of topics not available through regular course offerings."
ATTR 121,"
Training, conditioning, protection, and other injury prevention measures. First aid, emergency service, and care related to physical education and athletics."
AVIA 101,"
PR: Consent.   Knowledge and skills necessary for a FAA private pilot certificate. Topics include erodynamics, systems, regul;ations, airspace, performance, weather, flight publications, navigation, basic flight physiology, and flight safety. Flight training to obtain a private pilot certificate."
AVIA 181,"
PR: Consent.   Flight training conducted in conjunction with  necessary to obtain a FAA private pilot certificate."
AVIA 201,"
PR: Consent.   Provides the knowledge required for an instrument rating. Includes instrument flight regulations, air traffic control system and procedures, instrument navigation and approaches, charts, weather, safety, aeronautical decision making, and crew resource management."
AVIA 231,"
PR: Consent.   Knowledge and skills required to obtain a FAA commercial pilot certificate. Topics include regulations, aerodynamics, metrology, performance, pilotage, dead reckoning, navigation aids, aeronautical decision making, aircraft systems, night and high altitude operations, and commercial maneuvers."
AVIA 241,"
PR: Consent.   Provides the knowledge and skills necessary to safely and proficently exercise the privileges and responsibilities of a multi-engine aircraft rating. Includes multi-engine aircraft systems, multi-engine aerodynamics, weight and balance, aircraft performance, and abnormal/emergency procedures."
AVIA 281,"
PR: Consent.   Flight Training conducted in conjunction with most AVIA 200 level courses."
AVIA 293,"
PR: Consent. Investigation of topics not covered in regularly scheduled courses."
AVIA 301,"
PR: Consent.   Fundamentals of learning, lesson plans, and the teaching equipment. Emphasis on the organization, composition, and presentation of lessons to individuals and groups in preparation for Fundamentals of Instruction knowledge examination and flight instructor practical test."
AVIA 302,"
PR: Consent.   Provides the knowledge and skills necessary to conduct flight and ground instruction. Includes subject areas necessary for a private and commercial pilot training, intensive instruction and practice in lesson plans, in-flight instruction, debriefing and analysis."
AVIA 304,"
PR: Consent.   A study of the material required to teach the instrument rating combined with a study of teaching responsibilities and techniques. Topics include regulations, air traffic control, navigation, instrument approach procedures, weather, ADM, and CRM."
AVIA 306,"
PR: Consent.   Provides the knowledge and skills necessary for adding an additional aicraft rating to the flight instructor certificate. Includes aircraft limitations &amp; specifications, flight training differences, safety factors, effective evaluations, and flight instructor responsibilities."
AVIA 351,"
PR: Consent.   A study of human interactions that affect the safety of flight. Coursework emphasizes crew coordination, situational awareness, communication, workload management, decision making, and human error management essential to the safe operation of a professional crew."
AVIA 352,"
PR: Consent.   This course includes an in-depth study of regional jet systems, FMS navigation airline crew resource management and airline standard operating procedures. The topics covered apply to many regional jet aircraft and some turbo prop aircraft."
AVIA 380,"
A study of weather as it relates to aviation, with emohasis on wweather concepts, reporting systems, forecasting systems, hazards, weather and flight planning, weather in relation to aircraft performance, and weather reporting hardware and software."
AVIA 381,"
PR: Consent.   Flight training conducted in conjunction with  and 300-level AVIA courses."
AVIA 382,"
A study of the fundamental principles of aerodynamics and aircraft performance. Includes terminology, the four forces of flight, aerodynamic stall, stability and control, weight and balance, and flight at slow, transonic and supersonic speeds."
AVIA 383,"
A detialed study of basic and advanced aircraft systems, including piston and turbine powerplants, electrical, hydraulic, fuel, lubercation, pneumatic, ignition, pressurization, landing gear, environmental, fire detection/ extinquishing, flight control, and brake systems."
AVIA 385,"
A study of the national airspace system and air traffic control, includes the US air traffic control system, communication systems, ATC procedures, regulations, navigational equipment, tower operations, TRACON and center operations, and environmental issues."
AVIA 480,"
A comprehensive look at human factors in aviation, including the meaning of human factors; human error; fatigue, body rhythms &amp; sleep; fitness &amp; performance; vision &amp; visual illusions; motivation &amp; leadership; communication; attitudes &amp; persuasion; training &amp; training devices; education &amp; application. (web course)."
AVIA 483,"
A comprehensive review of the history and role of air transportation. Topics include historical and present status of air transport; regulation and administration of the industry; perspectives on pilots, mechanics, operators, and owners; and evolution of aviation law, aircraft safety, facilities, security, and labor relations. (web course)."
AVIA 484,"
Provides practical guidance on aircraft command techniques used during routine and unexpected situations. Includes the role of captain, characteristics of effective leaders, judgement and decision skills, management of resources, communication techniques and emergency situations."
AVIA 485,"
Middle and upper management decision making in a volatile airline industry. Topics include output, unit cost, traffic, and yield; operating expenses and relationships driving profit and loss. (web course)."
AVIA 486,"
Explores management methods used by aviation crew, management, suppliers, service providers, and manufacturers. Focuses on decision analysis, decision research, peer-to-peer communication, sales management, emotional intelligence, and the Johari Window."
AVIA 487,"
PR: Consent.   Presents basic information on security issues and concerns in the aviation industry. It includes the historical aspects of aviation security, information on current security operations and information on the security tools used within the industry."
AVIA 488,"
An understanding of how the business of flying and flying for pleasure have influenced literature; readings from journals, memoirs, fiction, and nonfiction dealing with the human side of aviation."
AVIA 489,"
Overview of basic principles of U. S. law, with an emphasis on application of principles of aviation transactions and activities; recognition and avoidance of common legal pitfalls in aviation; and practical knowledge and understanding of basic legal concepts for mangers, pilots, and mechanics; legal ramifications on administrative law, labor relations, airspace, and airport management. (web course)."
BIOL 105,"
(Intended for non-biology majors.)  Population growth and human impacts on the environment, including ecosystem destruction, biological diversity, pollution, and global climate change are explored to obtain the concepts necessary to understand complex environmental issues of our time."
BIOL 107,"
An overview of the use of biotechnology to solve agricultural, medical, and environmental problems. Bioethical concerns and societal impacts of the use of the technologies will be discussed."
BIOL 111,"
PR or CONC: . A comprehensive introductory course investigating the major areas of modern biology including scientific method, biological molecules, cell structure and function, histology metabolism and the anatomy and physiology of animals. Laboratory exercises include vertebrete dissection."
BIOL 112,"
PR:. A continuation of .  Principles of inheritance, molecular genetics, survey of plant and animal diversity, evolution, and ecology.  Plant anatomy and physiology."
BIOL 122,"
A study of biological, behavioral and societal aspects of sexuality. Issues considered include changing fecundity, social-legal implications, sex roles, sexually transmitted diseases, populations, erotica, aging, dysfunctions, and decision- making skills for sex related issues."
BIOL 193,"
PR: Consent. Investigation of topics not covered in regularly scheduled courses."
BIOL 225,"
An introduction to scientific thinking, hypothesis generation, design of experiments, analysis of data, literature search, and writing a research paper. Includes basic laboratory safety and lab and field skills for biologists."
BIOL 230,"
PR: PSC sections require  and  or nursing major or consent, WVUIT sections require . The study of human body structure and function. Lecture emphasizes the integumentary, skeletal, muscular, and nervous systems, and special senses. Laboratory includes a complete cat dissection."
BIOL 231,"
PR: PSC sections require  and Nursing major or consent, WVUIT sections require . A continuation of . The following systems are thoroughly studied: endocrine, cardiovascular, lymphatic, respiratory, digestive, urinary, and reproductive. Laboratory work involves physiological investigations and dissections."
BIOL 233,"
PR:( and ) or English ACT of 18 or  as co-requisite and  or higher.  A survey of cellular &amp; organismal structure and function of the human body.  Mammal dissection required."
BIOL 240,"
PR:  or  or . Comprehensive introduction to the biology of microorganisms with special emphasis on bacteria and viruses. Includes aspects of disease prevention and control, and human immunology.  Laboratory exercises on physiology, identification, and culturing of bacteria."
BIOL 303,"
PR:  and . A comprehensive course covering aspects of both classic and modern genetics, including heredity, molecular genetics, and population genetics. Laboratory exercises investigate basic principles of inheritance, manipulation of DNA and bioinformatics."
BIOL 336,"
PR:  or .  An experimental and descriptive analysis of vertebrate development. Students on the Morgantown campus will be required to complete ."
BIOL 338,"
PR:  or . Consideration of the influences of environmental factors on short-and long-term regulation, control, and evolution of the behavior of animals. Students on the Morgantown campus will be required to complete ."
BIOL 343,"
PR:  and .  Phylogeny, taxonomy and morphology of invertebrate and vertebrate phyla.  Collection, dissection a and preservation of specimens."
BIOL 347,"
PR: . The study of parasites and their effects on their host. Parasites of major medical importance to humans and their companion/agricultural animals; evolutionary relationships between parasites and hosts.  Laboratory will include observations of preserved and live (if possible) specimens and discussions of current research on evolution of host/ parasite relationships."
BIOL 354,"
PR: and . Anatomy, growth, reproduction, and biochemical and physiological processes of higher plants; survey of algae, fungi, nonvascular and vascular plants. Laboratory exercises on anatomy, physiology, and ecology of plants."
BIOL 416,"
PR: and ( or ).  Study of the structure and function of prokaryotic and eukaryotic cells with an emphasis on eukaryotices.  Areas of focus include biological molecules, membrane structure and function, intracellular sorting, the cytoskeleton, cell adhesion, cell signaling, and bioenergetics. Also includes an introduction to the cells of the immune system, cell death, and cancer."
BIOL 417,"
PR: and ( or )  Study of the structure, function, and regulation of DNA with an emphasis on recombinant DNA technology and related techniques that are used to analyze and manipulate DNA, RNA, and protiens.  Also covered are applications of this technology in agriculture, industry, medicne, forensics and scientific discovery.  Examination of appropriate research papers from the scientific literature illustrates the use of specific techniques."
BIOL 440,"
PR: WVU sections require  and  or consent, WVUIT sections require . A functional and evolutionary study of vertebrate structure. (Dissection kit required.)."
BIOL 442,"
PR: and  and .  Mechanisms of environmental adaptation. Physiology, behavior and zoogeography.  Laboratory experiments."
BIOL 452,"
PR:. Classification, phylogeny and morphology of vascular plants. Laboratory and field trip emphasis on West Virginia flora."
BIOL 454,"
PR:  or . Explores the fundamental principles and practices of immunology including how the immune system is organized, how it functions to keep us healthy, and how it can cause allergies and autoimmune disease."
BIOL 461,"
PR:  or . Introduction to the study of evolution, including genetics of evolutionary change, speciation and adaptation molecular evolution, the history of life, extinction, co-evolution and the origins of humans. Students on the Morgantown campus will be required to complete ."
BIOL 466,"
PR:  and . Principles of environmental biology, population dynamics and evolution. Field trips and lab work."
BIOL 493,"
PR: Consent. Investigation of topics not covered in regularly scheduled courses."
BIOL 494,"
PR: Consent. Presentation and discussion of topics of mutual concern to students and faculty."
BIOL 495,"
Faculty supervised study of topics not available through regular course offerings."
BIOL 497,"
Independent research projects."
BUSA 101,"
An introduction to the contemporary business world, including international and small business, quality, ethics, and career preparation. The role of accounting, economics, finance, management, and marketing activities are investigated."
BUSA 242,"
PR:. A review of the principles and concepts developed in the in introductory course in accounting. Work sheet adjustments and the presentation of financial statements with various formats.  Introduction of additional valuation accounts relating to receivables, inventories, and payables. In-depth study of inventory costing and valuation. Appropriate software used to solve and analyze accounting problems."
BUSA 243,"
Theory and practice with respect to accounting for liabilities and stockholders equity."
BUSA 244,"
Cost concepts, behavior and estimation; accounting systems for activity-based costing; analysis for decision-making; inventory manage."
BUSA 293,"
PR: Consent. Investigation of topics not covered in regularly scheduled courses."
BUSA 493,"
PR: Consent. Investigation of topics not covered in regularly scheduled courses."
BCOR 320,"
Explores the relationship of law, government and ethics to business enterprise. Provides overview of legal and ethical issues relevant to business decision-making and planning and the government regulations of business."
BCOR 340,"
Time Value of Money is applied to decision making in business and personal finance. Additionally, students learn common valuation techniques and financial planning."
BCOR 350,"
Overview of marketing and the interrelationships between marketing and other business disciplines. Topics include the management of the product, communication, price, and distribution variables as well as introduction to buyer behavior and marketing research."
BCOR 360,"
The course acquaints students with a variety of supply chain management key concepts, to include purchasing, logistics, competitiveness, location, inventory, forecasting, layout, production and operations management concepts and techniques."
BCOR 370,"
Topics include traditional management functions, employee motivation, leadership, team dynamics, individual and group decision-making, and individual differences. Additional topics include social responsibility and ethics, diversity, organizational structure and design, organizational control, and managing innovation and change."
BCOR 460,"
PR:  and ( or ) and  and  and . The course focuses on the total organization and strategy development and execution that lead to the achievement of the organization's objectives and a superior position in the competitive environment in which it operates."
BLAW 400,"
PR:  or consent.  The legal principles guiding employer-employee relations, including agency law and the laws regulating employee health, safety, compensation, and benefits, job opportunity, and labor organizing."
BLAW 420,"
PR: . (Credit cannot be received for both  and .) A survey of those areas of commercial and regulatory law with which accountants need familiarity in order to exercise good judgement, practice their profession skillfully and understand their professional responsibility."
CTED 100,"
College regulations, State Department of Education Policies and Certifications, effective study habits, use of resources, career opportunities."
CTED 201,"
Purpose, nature and scope of vocational education for the vocational teacher.  General orientation to career technical education instruction."
CTED 301,"
Analysis procedures for determining career technical curriculum content, determination of course goals and objectives.  Involvement of advisory committees in career technical education."
CTED 302,"
Analysis procedures for determining vocational curriculum content.  Determination of course goals and objectives.  Involvement of advisory committees for vocational education.  Factors, principles, and techniques of developing a course of study for a career-technical education program."
CTED 303,"
Responsibilities of the teacher as a manager, methods of handling tools and supplies, problems of effective shop organization and maintenance, safety administration, job evaluation and selection, group control and management."
CTED 304,"
Responsibilities of the teacher in providing a safe learning /working environment for career technical students.  The study of effective approaches to accident prevention and an introduction to the laws and regulatory agencies regarding safety management in the classroom and laboratory."
CTED 305,"
An introduction to the methods and techniques for developing and administering written and performance tests.  Course includes the charting of student progress and methods for determining student grades for a grading period."
CTED 306,"
Background of coordination of cooperative part-time students.  Methods and techniques for evaluating and selecting work stations, student selection, placement and follow-up.  Role and use of advisory committees, and methods of evaluating a cooperative work experience program."
CTED 307,"
This course is designed to introduce students to computer-based instructional technology used in today's classrooms and labs.  Included is an introduction to operating systems, application software for instruction, and instructional management."
CTED 308,"
Methods, techniques and strategies for i incorporating the reinforcement of basic skills in career technical instructional program.  Emphasis will be placed on reading, writing, math, oral communication, and critical thinking skills as they apply to occupational specific training.  Also addressed in this course is the teaching of job seeking and job keeping skills."
CTED 402,"
Historical influences in the development of voactional education in America and Europe; motivating influences and the implications of philosophy in modern career technical education."
CTED 404,"
Theories, background, and practices of vocational guidance including; promotion, selection of occupations, training programs, placement responsibilities, and follow-up techniques. Relationships between vocational guidance programs and educational and community agencies, including vocational- technical education."
CTED 409,"
Purpose and scope of VICA and other youth organizations.  Application of youth activities within the related classroom instruction in vocational-technical education.   Current trends in the development and movement of youth activities in America."
CTED 410,"
Analysis of the role of career-technical education within the area of career education.  Organizing a plan for including career-technical education."
CTED 411,"
Supervisory techniques for local, area and state levels; analysis of supervisory needs, duties and responsibilities, cooperation between school, labor management, and public agencies.  Emphasis on improvement of instruction."
CTED 413,"
Particular emphasis on developing individually prescribed instructional materials for special teaching areas.  Time available for each student to work on an individual basis to complete work assignment."
CTED 414,"
The SI"" metric system, relationship between metric and decimal systems, metric terminology, metric applications in length, area, volume, mass, and temperature, metric to metric conversion, imperial to metric conversions, teaching the metric system, application of the metric system to career technical specializations."
CTED 415,"
Developing audio/visual equipment. Designing, programming and editing audio/visual productions for career technical teacher education."
CTED 417,"
A study of the concepts of Industrial Education.  The development of questioning and answering techniques in the vocational setting.  The selection and correlation of teaching aids."
CTED 418,"
The presentation of specific demonstration to selected teachers and student in the vocational teacher's specialization.  Critiquing demonstrations of others and comparing techniques employed."
CTED 419,"
Classroom visitations and written critiques of shops and laboratories in the teacher skill specialization.  Observations of the industrial application of job skills in the teacher's specialization.  Comparison of industrial and vocational education shops and laboratories."
CTED 420,"
Organization and planning for a program of school-community relations by the vocational teacher. Emphasis on preparing brochures, displays, news articles, coducting open house activities and working with members of the community."
CTED 421,"
Instructional planning for individual student needs.  Special instructional techniques, and modification of the learning environment/physical setting for special students in career technical education."
CTED 422,"
An occupational specialization updating experience for the in-service, career technical teacher.  In-service teacher will gain new knowledge and skill in an occupational specialization through back-to-industry experience.  Hours of credit will vary according to the depth and magnitude of the experience. Credit shall be earned on a pass/fail basis."
CTED 423,"
Special seminars or workshops designed for specific occupational specializations updating.  Special topics shall be designed to provide the in-service, career technical teacher with new knowledge and skill currently required of workers in business and industry Hours of credit will vary according to the depth and magnitude of the training.  Credit shall be earned on a pass/fail basis."
CTED 423A,"
<"
CTED 423B,"
Special seminars or workshops designed for specific occupational specializations updating. Special topics shall be designed to provide the in service, career technical teacher with new knowledge and skill currently required of workers in businee and industry. Hours of credit will vary according to the depth and magnitude of the training. (Credit shall be earned on a pass/fail basis.)."
CTED 423C,"
Special seminars or workshops designed for specific occupational specializations updating. Special topics shall be designed to provide the in-service, career technical teacher with new knowledge and skill currently required of workers in business and industry. Hours of credit will vary according to the depth and magnitude of the training. (Credit shall be earned on a pass/fail basis.)."
CTED 423D,"
Special seminars or workshops designed for specific occupational specializations updating. Special topics shall be designed to provide the in service, career technical teacher with new knowledge and skill currently required of workers in business and industry. Hours of credit will vary according to the depth and magnitude of the training. (Credit shall be earned on a pass/fail basis.)."
CTED 423E,"
Special seminars or workshops designed for specific occupational specializations updating. Special topics shall be designed to provide the in-service, career technical teacher with new knowledge and skill currently required of workers in business and industry. Hours will vary according to the dpeth and magnitude  of the training. Credit shall be earned on a pass/fail basis."
CTED 423F,"
Special seminars or workshops designed for specific occupational specializations updating. Special topics shall be designed to provide the in-service, career techincal teacher with new knowledge and skills currently required of workers in business and industry. Hours of credit will vary according to the depth and magnitude of the training. Credit shall be earned on a pass/fail basis."
CTED 423G,"
Special seminars or workshops designed for specific occupational specializations updating. Special topics shall be designed to provide the in-service, career technical teacher with new knowledge and skills currently required of workers in business and industry.  Hours of credit will vary according to the depth and magnitude of the training. Credit shall be earned on a pass/fail basis."
CTED 423H,"
Special seminars or workshops designed for specific occupational specializations updates. Special topics shall be designed to provide the in-service, career technical teacher with new knowledge and skill currently required of workers in business and industry. Hours of credit will vary according to the depth and magnitude of the training. Credit shall be earned on a pass/fail basis."
CTED 423I,"
Special seminars or workshops designed for specific occupational specializations updating. Special topics shall be designed to provide the in-service, career technical teacher with new knowledge and skills currently reuired of workers in business and industry. Hours of credit will vary according to the depth and magnitude of the training. Credit shall be earned on a pass/fail basis."
